"","nodeid","parent","generation","n","beta.ave","beta.diff","gamma.ave","gamma.diff"
"113",1,0,2,3,0.234567901234568,NA,0.179824561403509,NA
"114",2,1,0,NA,NA,NA,NA,NA
"115",3,1,1,2,0.714285714285714,0,0.333333333333333,0.0833333333333333
"116",4,3,0,NA,NA,NA,NA,NA
"117",5,3,0,NA,NA,NA,NA,NA
"118",6,1,0,NA,NA,NA,NA,NA
"119",1,0,1,5,0.413333333333333,NA,0.21731843575419,NA
"120",2,1,0,NA,NA,NA,NA,NA
"121",3,1,0,NA,NA,NA,NA,NA
"122",4,1,0,NA,NA,NA,NA,NA
"123",5,1,1,1,0.6,NA,0.454545454545455,NA
"124",6,5,0,NA,NA,NA,NA,NA
"125",7,1,1,1,0.461538461538462,NA,1,NA
"126",8,7,0,NA,NA,NA,NA,NA
"127",1,0,1,1,0.473684210526316,NA,0.946666666666667,NA
"128",2,1,0,NA,NA,NA,NA,NA
"129",1,0,2,2,0.264150943396226,0.0188679245283019,0.235602094240838,0.107329842931937
"130",2,1,1,2,0.566666666666667,-0.0333333333333333,0.515267175572519,0.179389312977099
"131",3,2,0,NA,NA,NA,NA,NA
"132",4,2,0,NA,NA,NA,NA,NA
"133",5,1,0,NA,NA,NA,NA,NA
"134",1,0,1,2,0.161290322580645,-0.0161290322580645,1.12083333333333,0.7125
"135",2,1,0,NA,NA,NA,NA,NA
"136",3,1,0,NA,NA,NA,NA,NA
"137",1,0,2,2,0.807692307692308,-0.115384615384615,1.05833333333333,0.758333333333333
"138",2,1,0,NA,NA,NA,NA,NA
"139",3,1,1,1,0.177777777777778,NA,0.321100917431193,NA
"140",4,3,0,NA,NA,NA,NA,NA
"141",1,0,1,2,0.201492537313433,0.0522388059701493,0.335059171597633,0.0347633136094675
"142",2,1,0,NA,NA,NA,NA,NA
"143",3,1,0,NA,NA,NA,NA,NA
"144",1,0,1,2,0.161290322580645,-0.0161290322580645,1.12083333333333,0.7125
"145",2,1,0,NA,NA,NA,NA,NA
"146",3,1,0,NA,NA,NA,NA,NA
"147",1,0,2,2,0.807692307692308,-0.115384615384615,1.05833333333333,0.758333333333333
"148",2,1,0,NA,NA,NA,NA,NA
"149",3,1,1,1,0.177777777777778,NA,0.321100917431193,NA
"150",4,3,0,NA,NA,NA,NA,NA
"151",1,0,1,2,0.201492537313433,0.0522388059701493,0.335059171597633,0.0347633136094675
"152",2,1,0,NA,NA,NA,NA,NA
"153",3,1,0,NA,NA,NA,NA,NA
"154",1,0,2,3,0.329365079365079,NA,6.83333333333333,NA
"155",2,1,0,NA,NA,NA,NA,NA
"156",3,1,1,1,0.347826086956522,NA,0.848214285714286,NA
"157",4,3,0,NA,NA,NA,NA,NA
"158",5,1,1,1,0.333333333333333,NA,0.5,NA
"159",6,5,0,NA,NA,NA,NA,NA
"160",1,0,1,2,0.504587155963303,0.091743119266055,0.126388888888889,0.00138888888888889
"161",2,1,0,NA,NA,NA,NA,NA
"162",3,1,0,NA,NA,NA,NA,NA
"163",1,0,2,5,0.230042918454936,NA,0.125139442231076,NA
"164",2,1,1,2,0.383720930232558,-0.104651162790698,4.42708333333333,0.260416666666667
"165",3,2,0,NA,NA,NA,NA,NA
"166",4,2,0,NA,NA,NA,NA,NA
"167",5,1,1,2,0.376543209876543,-0.037037037037037,0.12972972972973,0.0486486486486487
"168",6,5,0,NA,NA,NA,NA,NA
"169",7,5,0,NA,NA,NA,NA,NA
"170",8,1,0,NA,NA,NA,NA,NA
"171",9,1,0,NA,NA,NA,NA,NA
"172",10,1,0,NA,NA,NA,NA,NA
"173",1,0,1,3,0.418803418803419,NA,0.684365781710914,NA
"174",2,1,0,NA,NA,NA,NA,NA
"175",3,1,0,NA,NA,NA,NA,NA
"176",4,1,0,NA,NA,NA,NA,NA
"177",1,0,1,2,0.236111111111111,-0.0972222222222222,0.130801687763713,0.0379746835443038
"178",2,1,0,NA,NA,NA,NA,NA
"179",3,1,0,NA,NA,NA,NA,NA
"180",1,0,1,2,0.363636363636364,0.0909090909090909,NA,NA
"181",2,1,0,NA,NA,NA,NA,NA
"182",3,1,0,NA,NA,NA,NA,NA
