,beta.ave,beta.diff,gamma.ave,gamma.diff,group
222,0.429109918,0.015496772,0.251376449,0.170190813,hht
226,0.735129501,0.230782967,1.168003802,0.915386607,hht
227,0.454684528,0.073794007,0.462000345,0.063240127,hht
230,1.728791891,0.41737379,3.209040446,2.191491241,hht
231,1.26627141,0.041189922,9.242872704,1.913569198,hht
234,0.925249932,-0.099086133,1.065310062,0.392428993,hht
235,0.636855728,-0.010754102,0.435051563,0.155037018,hht
236,0.596715704,0.233454128,0.529562417,0.296389575,hht
237,1.906123848,0.147948925,5.114252174,0.099986816,hht
239,0.74635335,0.192792256,0.878020611,0.358844805,hht
242,0.556427208,-0.036470302,1.022676073,0.176945804,hht
245,0.769608905,0.051868463,2.655442302,1.655442302,hht
246,0.733722795,-0.047663147,1.544012756,0.580583531,hht
247,0.737127706,0.147201558,1.214046942,0.064662917,hht
253,0.428468417,0.31512714,0.253865505,0.18004501,hht
255,0.862907678,-0.009230111,0.150808235,0.072240009,hht
256,0.640224852,0.159412563,1.269251569,1.099619547,hht
258,0.727460904,0.239906167,0.201871392,0.147414236,hht
260,0.596803305,0.002789085,0.993783137,0.74124492,hht
263,0.611361504,-0.166876265,2.775294091,1.476421687,hht
265,0.648721341,0.198380076,1.400828985,1.15011131,hht
266,0.622322345,0.003089746,0.071492376,0.023197702,hht
268,1.308161743,-0.266911095,9.163550865,5.132681607,hht
270,0.725234282,-0.098228789,3.466348625,0.22194562,hht
274,0.594759345,-0.112517105,2.085958049,1.919913964,hht
275,0.814908788,0.243170948,5.999286421,4.859588648,hht
276,0.564488756,0.153341052,0.306019837,0.201064419,hht
281,0.836979632,0.022439836,2.124925488,1.538123984,hht
282,1.087584415,-0.219891915,2.732311333,0.814090554,hht
283,0.593703366,0.071163446,0.460578172,0.098520095,hht
287,0.628651761,-0.024902912,1.506782645,0.839826626,hht
288,0.427870775,0.036740939,0.043164716,0.032000434,hht
291,0.542602179,-0.014079511,0.201684073,0.056327894,hht
292,0.893480306,0.178121392,0.324794153,0.134810225,hht
294,0.811903155,-0.128284966,1.276329216,0.412984009,hht
296,0.769528001,0.011346308,0.883410739,0.643463339,hht
297,1.259498972,0.286310869,4.082710246,3.554780163,hht
299,0.944058684,0.31449347,0.289688989,0.220565487,hht
301,0.601565021,0.101335283,1.421915023,1.150977657,hht
309,0.761648279,-0.19792581,1.730471479,1.170485354,hht
310,0.651586694,0.071809357,4.925735664,3.934090418,hht
314,0.5122036,0.000163852,3.066998397,2.939861494,hht
316,1.075068984,0.325562018,9.506238772,7.315325971,hht
319,0.261835474,0.147341673,0.287484647,0.263892738,hht
320,0.642773863,0.043175457,2.94519709,0.853249815,hht
322,0.579503069,0.137376062,0.032958236,0.008985881,hht
324,0.839373882,0.207793548,2.676276011,2.240287511,hht
325,0.740536489,-0.075273067,0.461373608,0.267499053,hht
326,0.802970321,0.05720602,3.364491232,3.139737377,hht
328,1.045088028,-0.183760901,0.310187666,0.249985704,hht
329,0.840718023,0.210571229,2.880296933,2.160768262,hht
336,0.634784397,0.254696026,0.108810063,0.043916349,hht
337,0.829201091,0.306876166,0.91351434,0.15516192,hht
338,0.881331418,0.003443785,0.930594416,0.354809277,hht
339,0.577635995,0.184250437,2.841063129,1.717245517,hht
342,0.584629897,0.016391438,3.45931145,2.194345704,hht
344,0.732303611,-0.033355493,0.264693032,0.088231011,hht
349,0.912400883,0.262242117,7.12773277,1.696887108,hht
350,0.79599508,0.151463719,0.178513427,0.036686027,hht
351,0.422200584,-0.110792286,0.361990054,0.137982596,hht
353,1.017459677,0.462600277,3.112723379,1.256644314,hht
356,0.961301093,0.005935886,1.401133943,0.646754087,hht
357,0.555182657,-0.181013184,0.492219703,0.148660895,hht
359,0.959131319,0.598856678,0.901495059,0.721861268,hht
361,0.759635892,-0.10189406,0.839210188,0.160789812,hht
362,0.558742896,-0.046951911,2.031409949,0.227014925,hht
365,0.533488307,0.079494633,1.460216859,0.982993812,hht
367,0.960140315,0.180028472,1.876448909,1.328720617,hht
370,0.718502905,-0.299655582,6.773564854,4.702785884,hht
372,0.834301195,-0.228943353,1.53722228,0.17465002,hht
373,0.348181533,0.037618349,0.955100238,0.441826637,hht
376,0.640701673,-0.261071141,1.526463921,0.376081739,hht
378,0.549977099,-0.060424456,1.051052353,0.333799961,hht
379,0.526965945,0.070038138,0.202619287,0.016008664,hht
382,0.646186385,0.297012357,0.64899959,0.384421096,hht
383,2.234650041,-0.318166473,7.718487231,1.810738653,hht
385,0.772782298,-0.132918528,1.085561218,0.119800222,hht
388,0.623633227,0.047482052,0.678828451,0.256021975,hht
389,0.647511476,0.045518827,1.283012883,0.018279647,hht
392,0.778471622,0.05906217,1.399817921,0.916772063,hht
394,1.198115792,0.082932032,5.964746504,0.738131077,hht
397,0.986859233,-0.074030925,1.025578503,0.259748237,hht
398,0.699548843,0.131664393,0.485885674,0.133463214,hht
399,1.017596291,0.013572389,3.177273879,1.140010092,hht
401,0.253518491,-0.021910833,0.046526336,0.007982659,hht
