"","nodeid","parent","generation","n","beta.ave","beta.diff","gamma.ave","gamma.diff"
"575","D61","D60",0,NA,NA,NA,NA,NA
"576","D62","D60",0.1,2,0.586466165413534,0.199248120300752,1.07,0.47
"577","D63","D62",0,NA,NA,NA,NA,NA
"578","D64","D62",0,NA,NA,NA,NA,NA
"579","D65","D8",0.5,2,0.727469670710572,-0.0454939341421144,0.316831683168317,0.0297029702970297
"580","D66","D65",0.4,2,0.745235069885642,0.0895806861499364,3.6,1.14285714285714
"581","D67","D65",0.4,2,0.680493273542601,0.0852017937219731,4.18620689655172,0.358620689655172
"582","D123","D67",0.3,4,0.62298682284041,NA,0.673368740515933,NA
"583","D69","D67",0.3,2,0.83804143126177,0.0489642184557439,0.810810810810811,0.027027027027027
"584","D7","A23",0.5,2,0.754212454212454,0.22014652014652,0.33775,0.28725
"585","D70","D69",0.3,3,0.713375796178344,NA,0.50831541218638,NA
"586","D71","D70",0.1,2,0.588323353293413,0.154191616766467,0.0582894736842105,0.0193421052631579
"587","D72","D71",0,NA,NA,NA,NA,NA
"588","D73","D71",0,NA,NA,NA,NA,NA
"589","D74","D70",0.1,2,0.573378839590444,0.116040955631399,0.134821428571429,0.0544642857142857
"590","D75","D74",0,NA,NA,NA,NA,NA
"591","D76","D74",0,NA,NA,NA,NA,NA
"592","D77","D70",0.2,2,0.677165354330709,0.207349081364829,6.05906313645621,2.80040733197556
"593","D78","D77",0,NA,NA,NA,NA,NA
"594","D79","D77",0.2,2,0.65727002967359,0.191394658753709,0.110804597701149,0.0131034482758621
"595","D8","D7",0.5,2,0.564661654135338,0.303007518796993,3.46,0.58
"596","D80","D79",0,NA,NA,NA,NA,NA
"597","D81","D79",0.1,2,0.624125874125874,0.243006993006993,1.32096474953618,0.534322820037106
"598","D82","D81",0,NA,NA,NA,NA,NA
"599","D83","D81",0,NA,NA,NA,NA,NA
"600","D84","D69",0.2,2,0.680190930787589,0.186157517899761,0.706896551724138,0.0287356321839081
"601","D85","D84",0,NA,NA,NA,NA,NA
"602","D86","D84",0.1,2,0.555096418732782,0.163911845730028,0.778125,0.6125
