"","nodeid","parent","indv","generation","n","beta.ave","beta.diff","gamma.ave","gamma.diff"
"42","(125, 239, 21)-(126, 253, 27)","(122, 259, 30)-(126, 253, 27)","hht01",0,NA,NA,NA,NA,NA
"43","(122, 259, 30)-(126, 228, 36)","(121, 260, 30)-(122, 259, 30)","hht01",0,NA,NA,NA,NA,NA
"44","(119, 261, 30)-(121, 260, 30)","(121, 260, 30)-(126, 263, 25)","hht01",0.7,2,1.70993460241965,0.563604630356483,2.125747323103,0.643811798348017
"45","(119, 261, 30)-(121, 263, 32)","(119, 261, 30)-(121, 260, 30)","hht01",0.5,2,1.40352562791298,0.261024550052084,2.72500923721639,0.240353372803363
"46","(121, 263, 32)-(126, 258, 35)","(119, 261, 30)-(121, 263, 32)","hht01",0.1,2,0.442033660202732,-0.0311544182459233,2.09044475981814,0.229553330908646
"47","(126, 258, 35)-(144, 254, 37)","(121, 263, 32)-(126, 258, 35)","hht01",0,NA,NA,NA,NA,NA
"48","(126, 258, 35)-(132, 247, 42)","(121, 263, 32)-(126, 258, 35)","hht01",0,NA,NA,NA,NA,NA
"49","(121, 263, 32)-(125, 270, 35)","(119, 261, 30)-(121, 263, 32)","hht01",0.5,2,0.462728798633003,0.265199390916457,0.329521533585458,0.160908090389495
"50","(125, 270, 35)-(127, 274, 34)","(121, 263, 32)-(125, 270, 35)","hht01",0.4,2,0.927456495766454,0.208661108513843,3.44106253814723,0.256092358745833
"51","(127, 274, 34)-(136, 280, 25)","(125, 270, 35)-(127, 274, 34)","hht01",0,NA,NA,NA,NA,NA
"52","(127, 274, 34)-(128, 288, 37)","(125, 270, 35)-(127, 274, 34)","hht01",0.4,2,0.542161910074344,-0.15614135354847,0.897483455633249,0.277364509047249
"53","(128, 288, 37)-(137, 283, 51)","(127, 274, 34)-(128, 288, 37)","hht01",0,NA,NA,NA,NA,NA
"54","(128, 288, 37)-(129, 297, 39)","(127, 274, 34)-(128, 288, 37)","hht01",0.3,2,0.772996169023897,-0.104034801579533,1.18535963321983,0.774807689494507
"55","(129, 297, 39)-(130, 301, 40)","(128, 288, 37)-(129, 297, 39)","hht01",0.3,2,0.60203191093844,0.172709443529494,2.35075288535481,0.240871818763769
"56","(130, 301, 40)-(133, 311, 37)","(129, 297, 39)-(130, 301, 40)","hht01",0.2,2,0.640361975776416,0.0875385088301699,0.3449056378123,0.228044841461543
"57","(133, 311, 37)-(134, 317, 39)","(130, 301, 40)-(133, 311, 37)","hht01",0,NA,NA,NA,NA,NA
"58","(133, 311, 37)-(133, 312, 36)","(130, 301, 40)-(133, 311, 37)","hht01",0.2,2,1.13376602776403,0.0964568095772645,5.06439454070898,0.882285749741935
"59","(133, 312, 36)-(138, 316, 34)","(133, 311, 37)-(133, 312, 36)","hht01",0.1,2,0.911215992768172,-0.0787538132165057,0.13685475458539,0.0234805682775054
"60","(138, 316, 34)-(139, 317, 34)","(133, 312, 36)-(138, 316, 34)","hht01",0,NA,NA,NA,NA,NA
"61","(138, 316, 34)-(138, 317, 34)","(133, 312, 36)-(138, 316, 34)","hht01",0,NA,NA,NA,NA,NA
"62","(133, 312, 36)-(133, 317, 35)","(133, 311, 37)-(133, 312, 36)","hht01",0,NA,NA,NA,NA,NA
"63","(130, 301, 40)-(133, 308, 45)","(129, 297, 39)-(130, 301, 40)","hht01",0,NA,NA,NA,NA,NA
"64","(122, 317, 40)-(129, 297, 39)","(128, 288, 37)-(129, 297, 39)","hht01",0,NA,NA,NA,NA,NA
"65","(124, 271, 36)-(125, 270, 35)","(121, 263, 32)-(125, 270, 35)","hht01",0.4,2,2.14457438092467,-0.283701702935727,4.18612707068993,2.74459814934959
"66","(124, 271, 36)-(125, 271, 38)","(124, 271, 36)-(125, 270, 35)","hht01",0.3,2,0.806569429378673,-0.104272565021064,5.42795539988032,3.15905548270832
"67","(125, 271, 38)-(126, 274, 42)","(124, 271, 36)-(125, 271, 38)","hht01",0.3,2,0.730909440252585,-0.061491378847755,1.52897246702987,0.981512377753077
"68","(126, 274, 42)-(137, 273, 49)","(125, 271, 38)-(126, 274, 42)","hht01",0,NA,NA,NA,NA,NA
"69","(124, 276, 43)-(126, 274, 42)","(125, 271, 38)-(126, 274, 42)","hht01",0.2,2,0.988035073960926,-0.173216456538194,3.17147304038727,1.62093475115854
"70","(124, 276, 43)-(131, 267, 50)","(124, 276, 43)-(126, 274, 42)","hht01",0.1,2,0.777470214796624,0.00845433292940559,0.279593871342162,0.182968476469767
"71","(131, 267, 50)-(136, 264, 50)","(124, 276, 43)-(131, 267, 50)","hht01",0,NA,NA,NA,NA,NA
"72","(130, 267, 51)-(131, 267, 50)","(124, 276, 43)-(131, 267, 50)","hht01",0,NA,NA,NA,NA,NA
"73","(124, 276, 43)-(124, 280, 45)","(124, 276, 43)-(126, 274, 42)","hht01",0.1,2,0.589657961690581,-0.0158321458636079,1.89320920136069,0.351502615362956
"74","(124, 280, 45)-(129, 284, 51)","(124, 276, 43)-(124, 280, 45)","hht01",0,NA,NA,NA,NA,NA
"75","(120, 286, 45)-(124, 280, 45)","(124, 276, 43)-(124, 280, 45)","hht01",0,NA,NA,NA,NA,NA
"76","(125, 259, 51)-(125, 271, 38)","(124, 271, 36)-(125, 271, 38)","hht01",0.1,2,0.622939097872646,-0.0365563178548658,0.0723262243520438,0.00845950061345123
"77","(125, 259, 51)-(126, 258, 52)","(125, 259, 51)-(125, 271, 38)","hht01",0,NA,NA,NA,NA,NA
"78","(125, 259, 51)-(126, 258, 51)","(125, 259, 51)-(125, 271, 38)","hht01",0,NA,NA,NA,NA,NA
"79","(117, 277, 40)-(124, 271, 36)","(124, 271, 36)-(125, 270, 35)","hht01",0,NA,NA,NA,NA,NA
"80","(114, 261, 28)-(119, 261, 30)","(119, 261, 30)-(121, 260, 30)","hht01",0.7,2,1.08544300081654,-0.261391061947155,1.99369906077153,0.0094980199014474
"81","(111, 265, 19)-(114, 261, 28)","(114, 261, 28)-(119, 261, 30)","hht01",0.5,2,0.795319220526702,0.0762105224465445,1.00769480943608,0.70152676363407
"82","(111, 265, 19)-(111, 267, 16)","(111, 265, 19)-(114, 261, 28)","hht01",0.2,2,0.924539949467429,-0.0878212309540341,7.28995306683929,0.598342185408054
"83","(111, 267, 16)-(115, 283, 8)","(111, 265, 19)-(111, 267, 16)","hht01",0.1,2,0.437776611865933,0.0273857480115665,0.546707800698339,0.105444150581073
"84","(115, 283, 8)-(116, 288, 1)","(111, 267, 16)-(115, 283, 8)","hht01",0,NA,NA,NA,NA,NA
"85","(109, 287, 0)-(115, 283, 8)","(111, 267, 16)-(115, 283, 8)","hht01",0,NA,NA,NA,NA,NA
"86","(108, 281, 1)-(111, 267, 16)","(111, 265, 19)-(111, 267, 16)","hht01",0.1,2,0.252659212022669,-0.0209531652866412,0.0591238757031163,0.0279145084315762
"87","(107, 283, 0)-(108, 281, 1)","(108, 281, 1)-(111, 267, 16)","hht01",0,NA,NA,NA,NA,NA
"88","(107, 281, 1)-(108, 281, 1)","(108, 281, 1)-(111, 267, 16)","hht01",0,NA,NA,NA,NA,NA
"89","(95, 270, 26)-(111, 265, 19)","(111, 265, 19)-(114, 261, 28)","hht01",0.5,2,0.634940373373073,0.106748411024539,1.01322912055772,0.0995028060421223
"90","(80, 260, 24)-(95, 270, 26)","(95, 270, 26)-(111, 265, 19)","hht01",0.2,2,0.594086531989462,-0.0206957816077422,0.561908604014452,0.104609734748405
"91","(77, 253, 27)-(80, 260, 24)","(80, 260, 24)-(95, 270, 26)","hht01",0.1,2,0.65144682888246,0.029051058426826,1.45184086663507,0.437694142495814
"92","(71, 247, 24)-(77, 253, 27)","(77, 253, 27)-(80, 260, 24)","hht01",0,NA,NA,NA,NA,NA
"93","(66, 247, 36)-(77, 253, 27)","(77, 253, 27)-(80, 260, 24)","hht01",0,NA,NA,NA,NA,NA
"94","(74, 262, 16)-(80, 260, 24)","(80, 260, 24)-(95, 270, 26)","hht01",0,NA,NA,NA,NA,NA
"95","(76, 274, 25)-(95, 270, 26)","(95, 270, 26)-(111, 265, 19)","hht01",0.5,2,0.429748802005151,0.215583847974764,0.0758629068987789,0.0198156842469502
"96","(75, 275, 25)-(76, 274, 25)","(76, 274, 25)-(95, 270, 26)","hht01",0.5,2,2.09954963695224,0.00365090225794255,7.35430006017498,5.30549155859961
"97","(73, 276, 26)-(75, 275, 25)","(75, 275, 25)-(76, 274, 25)","hht01",0.4,2,1.418268711502,0.173569813098153,4.26457284784193,1.21655089570383
"98","(71, 275, 33)-(73, 276, 26)","(73, 276, 26)-(75, 275, 25)","hht01",0.1,2,0.494051083175226,-0.0219022963158211,2.19036385755349,0.29003413604859
"99","(65, 267, 47)-(71, 275, 33)","(71, 275, 33)-(73, 276, 26)","hht01",0,NA,NA,NA,NA,NA
"100","(59, 278, 41)-(71, 275, 33)","(71, 275, 33)-(73, 276, 26)","hht01",0,NA,NA,NA,NA,NA
"101","(67, 286, 29)-(73, 276, 26)","(73, 276, 26)-(75, 275, 25)","hht01",0.4,2,0.585474205966589,0.140135966966333,0.343954281876449,0.142266227157514
"102","(67, 286, 29)-(67, 290, 32)","(67, 286, 29)-(73, 276, 26)","hht01",0.4,2,0.844239865909973,-0.317637000748069,1.2583550394921,0.262953112839624
"103","(67, 290, 32)-(75, 292, 35)","(67, 286, 29)-(67, 290, 32)","hht01",0,NA,NA,NA,NA,NA
"104","(65, 296, 34)-(67, 290, 32)","(67, 286, 29)-(67, 290, 32)","hht01",0.3,2,0.643015727019128,-0.16836472887684,1.57634462509171,0.746206941378915
"105","(65, 296, 34)-(66, 301, 36)","(65, 296, 34)-(67, 290, 32)","hht01",0.2,2,0.741173781363197,0.351579915323191,0.737077901144354,0.456723657391789
"106","(66, 301, 36)-(67, 300, 37)","(65, 296, 34)-(66, 301, 36)","hht01",0.1,2,1.02797324614466,-0.0265777423850289,4.26697693468737,0.220491520135127
