,beta,gamma,group
624,0.349133338,0.104889208,hht
625,0.463252475,0.579402504,hht
626,0.555053162,0.753701326,hht
627,0.642525323,0.621930233,hht
628,2.624455281,14.37331036,hht
629,0.663412433,6.816381635,hht
630,0.746967105,6.674570012,hht
631,0.772605075,1.228531331,hht
632,0.610545267,0.363749461,hht
633,0.603446338,1.7769153,hht
634,0.67151083,2.494859866,hht
635,0.560454291,0.969344811,hht
636,0.455638499,1.644604068,hht
637,0.535517461,0.482392698,hht
638,0.948089478,0.421402849,hht
639,0.592764183,2.732167464,hht
640,0.605864625,2.14213201,hht
641,0.740551392,0.818824338,hht
642,0.800509978,1.731704605,hht
643,0.794843668,1.183804187,hht
644,0.523036268,0.164288241,hht
645,0.90462654,0.369941804,hht
646,0.801124034,0.732127788,hht
647,0.674928594,4.390512049,hht
648,0.94305897,1.175513239,hht
649,0.875055605,3.22889939,hht
650,0.592879718,0.199323904,hht
651,0.899335179,1.067793743,hht
652,0.842972783,1.48132137,hht
653,0.695089877,0.411208891,hht
654,1.406309219,2.427052238,hht
655,1.041109531,2.416298996,hht
656,0.974581078,1.177271447,hht
657,1.163924605,0.417089873,hht
658,0.828658027,2.896224502,hht
659,0.269230732,0.155886423,hht
660,0.920440814,2.430120745,hht
661,0.511760876,1.291068231,hht
662,1.786745418,3.915476612,hht
663,1.46118912,1.765388237,hht
664,0.765021948,2.893674971,hht
665,0.761543444,15.00133476,hht
666,0.84303478,0.269549549,hht
667,0.768844732,3.834513994,hht
668,0.703161711,4.550642334,hht
669,1.178168603,9.005233569,hht
670,0.888630253,0.202617813,hht
671,1.332391645,9.012712051,hht
672,0.701799092,2.495025555,hht
673,0.698119452,1.26820042,hht
674,0.497829716,0.158579004,hht
675,0.847968444,0.540837209,hht
676,1.119451116,0.34198964,hht
677,0.751331678,0.664305609,hht
678,0.912994638,3.998917146,hht
679,1.027919675,0.236603535,hht
680,0.767965237,2.373807421,hht
681,0.717432824,2.509502431,hht
682,0.71135586,1.922771269,hht
683,0.985867204,2.122054672,hht
684,1.1146044,0.134155099,hht
685,0.385820314,5.143356068,hht
686,0.847692606,2.890306292,hht
687,0.731469341,10.06381884,hht
688,0.848266464,0.575752708,hht
689,0.720914004,0.74464146,hht
690,1.159524542,1.334034,hht
691,0.704606243,0.430919042,hht
692,0.79600804,2.534704779,hht
693,0.435683802,0.397595536,hht
694,0.579842404,4.174413052,hht
695,0.693398118,1.62107036,hht
696,0.562147561,1.015015449,hht
697,1.11803435,2,hht
698,0.56081822,1.384008953,hht
699,1.229554886,2.379283441,hht
700,0.480992507,1.53084446,hht
701,0.411240997,0.686986979,hht
702,2.340165397,4.838967396,hht
703,0.878876381,1.099211269,hht
704,1.528649284,4.806113058,hht
705,0.802422467,0.531876495,hht
706,0.667600458,1.18090032,hht
707,1.574613826,11.87279139,hht
708,0.454756737,2.010266168,hht
709,0.741448045,2.182832254,hht
710,1.336840515,1.80346994,hht
711,1.08191552,1.892086913,hht
712,0.676624144,1.036973343,hht
713,0.645570652,0.347154963,hht
714,0.699080414,1.141144886,hht
715,1.022917671,1.14683296,hht
716,0.929208349,0.772116723,hht
717,0.805257965,0.642566743,hht
718,0.36576599,4.934692005,hht
719,0.736024337,0.158165457,hht
720,0.785611572,9.961053924,hht
721,0.520628808,0.057400679,hht
722,0.909681954,1.867568741,hht
723,0.916580349,0.271209083,hht
724,0.832363584,6.495117689,hht
725,0.70494582,0.77013224,hht
726,1.704858511,2.588575581,hht
727,0.76730223,2.182258713,hht
728,0.985438337,4.945298673,hht
729,0.771249945,2.38131039,hht
730,0.752605857,0.27463112,hht
731,0.888775518,4.682142322,hht
732,0.700420774,0.14588705,hht
733,0.811450572,3.720846833,hht
734,0.676645713,8.463474699,hht
735,0.810195572,0.930979446,hht
736,0.841990918,1.923462273,hht
737,0.801183112,2.537131812,hht
738,0.941735885,3.316364705,hht
739,1.228002523,3.315674469,hht
740,0.347941978,0.107647049,hht
741,0.743763202,0.659872168,hht
742,0.609814795,1.468827878,hht
743,0.421905773,0.460950615,hht
744,0.633607251,1.992736735,hht
745,0.487358463,1.643981544,hht
746,1.331089621,1.94260908,hht
747,0.625892748,2.262087255,hht
748,0.642891856,0.09032773,hht
749,0.981639958,12.45308289,hht
750,0.616009979,0.261608188,hht
751,2.344966334,5.561749753,hht
752,0.498506574,1.030856285,hht
753,0.460805048,0.288104445,hht
754,0.427472708,1.683839157,hht
755,2.005869463,5.108861633,hht
756,0.638380088,0.601752604,hht
757,0.778092335,0.726120559,hht
758,0.694462602,2.597100521,hht
759,0.799650688,0.753572069,hht
760,0.831481078,1.253566128,hht
761,0.527607438,1.436935951,hht
762,0.314086774,0.435991209,hht
763,0.945549031,1.90512073,hht
764,1.17868305,1.645920472,hht
765,0.493559361,0.586439145,hht
766,0.322707505,0.754478064,hht
767,1.587217484,4.418136559,hht
768,1.511463427,9.328135653,hht
769,0.616918573,1.186205191,hht
770,0.46477515,0.740685444,hht
771,0.788708248,2.88230562,hht
772,0.492917427,1.164677325,hht
773,0.669913957,2.413926665,hht
774,0.757080421,1,hht
775,1.01405807,1.013846827,hht
776,0.592196611,1.272191372,hht
777,0.760909795,1.454454947,hht
778,0.880969518,0.773087949,hht
779,0.746518694,0.304406586,hht
780,1.204582579,2.892429604,hht
781,0.854824423,1.019840991,hht
782,0.52883114,1.476937811,hht
783,0.863805133,0.629362735,hht
784,0.500176982,0.659726832,hht
785,0.536556039,3.950282033,hht
786,1.217342575,4.723599013,hht
787,0.656909583,1.782564157,hht
788,1.100761102,2.046065677,hht
789,0.49761127,2.002276333,hht
790,0.665067182,1.542688364,hht
791,0.678995094,2.412116127,hht
792,0.536794805,2.632740956,hht
793,0.63671,0.373742772,hht
794,1.900618429,4.152416217,hht
795,0.674098049,3.667779594,hht
796,1.37242641,6.583309569,hht
797,0.673589513,0.782058902,hht
798,0.893873823,0.11377729,hht
799,0.837786067,3.086923109,hht
800,0.733948745,2.598945936,hht
801,0.680420226,3.293935578,hht
802,0.660882964,1.593995026,hht
803,0.315204938,3.38468915,hht
804,0.358491966,3.802130268,hht
805,0.404990758,1.434568141,hht
806,0.754650141,0.323816915,hht
807,1.720908369,10.12991867,hht
808,0.986097472,6.185381818,hht
809,0.596065388,2.488464141,hht
810,0.463617832,1.873215635,hht
811,1.068509373,0.809088635,hht
812,0.616115148,0.248525475,hht
813,0.916156509,5.349178695,hht
814,0.9731916,2.294079566,hht
815,0.749969791,0.553131955,hht
816,0.5871141,0.066760476,hht
817,0.899788208,15.56286959,hht
818,0.787910185,0.805407918,hht
819,0.896869661,2.340143219,hht
820,0.77359092,1.060444069,hht
821,0.749883594,1.12430815,hht
822,0.489607047,0.193883418,hht
823,1.096008131,5.688586824,hht
